COA2011,AvPTAI2015,PTAL,PTAIHigh,PTAILow
E00018556,5.71586,2,6.34459,5.18235
E00018557,4.15368,1b,5.61488,2.69248
E00018558,24.6837,5,33.1983,9.74706
E00018559,7.13996,2,11.0549,5.73081
E00018560,24.4282,5,27.5795,16.8917
E00018561,5.49024,2,7.41888,3.06741
E00018562,5.759,2,6.00858,5.56505
E00018563,5.97764,2,6.12019,5.83509
E00018564,3.11777,1b,3.11777,3.11777
E00018565,3.12382,1b,3.40223,2.83076
E00018566,2.93449,1b,2.9892,2.87977
E00018567,3.04546,1b,3.38825,2.70267
E00018568,3.91573,1b,4.57663,3.19817
E00018569,4.5977,1b,5.87414,2.52249
E00018570,3.9529,1b,5.7363,2.9207
E00018571,3.80929,1b,5.5323,2.61666
E00018572,13.0352,3,14.7458,10.4706
E00018573,5.60503,2,12.1664,3.88169
E00018574,18.1685,4,19.5907,16.8065
E00018575,13.9309,3,17.1362,10.2399
E00018576,4.22706,1b,11.083,0
E00018577,18.7656,4,21.204,12.8209
E00018578,10.4046,3,23.6969,0
E00018579,12.4582,3,12.7081,12.2703
E00018580,3.92253,1b,4.29292,3.58691
E00018581,14.0113,3,14.4607,13.2701
E00018582,13.2469,3,13.4561,12.8593
E00018583,13.6849,3,14.5128,12.9123
E00018584,11.8818,3,12.2077,11.5559
E00018585,3.63669,1b,3.89471,3.3928
E00018586,4.18422,1b,10.9557,0
E00018587,7.31098,2,11.2285,3.39341
E00018588,8.90808,2,12.4576,3.48584
E00018589,8.0667,2,12.0802,4.05319
E00018590,3.16492,1b,3.2382,3.08298
E00018591,0.505433,1a,3.08082,0
E00018592,18.6279,4,20.5745,17.5579
E00018594,11.8734,3,12.2783,11.0702
E00018595,18.2939,4,19.8769,16.8088
E00018596,10.1063,3,13.1806,0
E00018597,11.8187,3,17.2844,9.80634
E00018598,19.2284,4,20.2991,18.0766
E00018599,12.1685,3,13.1829,10.5749
E00018600,11.5136,3,17.2037,9.54186
E00018601,10.7577,3,11.7264,10.0366
E00018602,10.0201,3,10.1138,9.94363
E00018603,16.8738,4,17.5357,16.0625
E00018604,9.44211,2,9.72543,9.15879
E00018605,7.5667,2,11.9498,4.38132
E00018606,3.7912,1b,11.1633,0
E00018607,4.9819,1b,5.8678,2.96461
E00018608,3.27387,1b,5.83764,2.171
E00018610,2.39087,1a,2.9496,1.92183
E00018611,10.8928,3,12.614,8.85914
E00018612,8.24317,2,12.9613,2.28391
E00018613,7.92955,2,10.0252,4.65707
E00018614,7.15412,2,11.5862,2.72205
E00018615,11.5243,3,12.0561,10.9926
E00018616,5.35427,2,5.70247,5.10992
E00018617,12.1062,3,13.9419,10.3043
E00018618,3.89392,1b,4.92544,2.86239
E00018619,10.7183,3,11.465,10.2549
E00018620,12.2927,3,13.0781,11.7234
E00018621,7.78662,2,12.7513,5.92913
E00018622,5.2593,2,7.3101,2.33286
E00018623,10.2843,3,12.6686,8.65336
E00018624,10.6329,3,14.2173,7.62817
E00018625,6.60743,2,14.4609,3.88927
E00018626,7.74251,2,8.31037,7.1766
E00018628,13.0347,3,15.78,9.16672
E00018629,12.0984,3,15.2035,5.94852
E00018630,12.8298,3,16.086,7.66716
E00018631,14.1069,3,17.1974,11.6391
E00018632,15.0592,4,15.7959,14.2556
E00018633,16.0685,4,16.7828,15.2034
E00018634,12.4053,3,14.1523,9.43611
E00018635,14.969,3,16.0687,13.915
E00018636,3.39771,1b,3.78659,3.07254
E00018637,2.77841,1b,3.04587,2.59757
E00018638,8.31884,2,11.6116,4.4943
E00018639,3.73972,1b,3.81415,3.63443
E00018640,5.72575,2,6.17288,5.36222
E00018641,2.74644,1b,3.52307,2.07693
E00018642,3.7288,1b,4.15136,3.30624
E00018643,2.57945,1b,3.29137,1.91333
E00018644,3.42658,1b,4.61845,2.72242
E00018646,10.6253,3,15.6115,8.14835
E00018647,3.96414,1b,4.28917,3.55415
E00018648,3.47114,1b,3.98531,2.51406
E00018649,3.33272,1b,3.39925,3.23973
E00018650,3.37367,1b,3.8962,2.62324
E00018651,3.0177,1b,3.81243,2.31383
E00018652,13.4952,3,14.2338,12.0226
E00018653,4.4904,1b,4.78302,4.22029
E00018654,3.37346,1b,3.78778,2.39516
E00018655,3.13367,1b,3.6001,2.83678
E00018656,3.10931,1b,3.5709,2.5935
E00018657,5.75009,2,9.33782,4.77129
E00018658,3.99171,1b,6.12119,0
E00018659,2.61263,1b,2.78016,2.46898
E00018660,5.37495,2,6.44722,4.32314
E00018661,16.4079,4,17.8864,14.9092
E00018662,3.93167,1b,4.59589,2.76472
E00018663,5.1665,2,9.054,3.72484
E00018664,9.69312,2,17.2907,1.81501
E00018665,2.69587,1b,2.7713,2.60643
E00018666,2.73479,1b,3.336,2.3928
E00018667,10.1765,3,10.6646,9.48803
E00018668,2.11476,1a,4.03653,0
E00018669,3.15362,1b,3.86113,2.63765
E00018670,3.36396,1b,3.50682,3.22109
E00018671,3.32681,1b,3.93443,2.8583
E00018672,3.63051,1b,3.83171,3.41311
E00018673,6.08696,2,12.3045,2.20866
E00018674,3.29451,1b,3.60561,2.82024
E00018675,3.05212,1b,3.59481,2.55181
E00018676,5.29875,2,8.66571,3.69231
E00018677,3.10343,1b,3.62565,2.46853
E00018678,8.01439,2,9.44155,3.63468
E00018679,10.0284,3,11.0137,8.49045
E00018680,11.9284,3,13.6348,10.3186
E00018681,11.5709,3,12.7019,10.5432
E00018683,11.5136,3,12.5251,10.497
E00018684,13.0986,3,14.1712,12.2193
E00018685,12.6243,3,15.7218,11.241
E00018686,11.2133,3,11.6506,10.4662
E00018687,13.7981,3,16.7553,11.9209
E00018688,13.0705,3,13.9469,12.1057
E00018689,12.0476,3,12.4461,11.3538
E00018690,14.2202,3,15.6203,12.7913
E00018691,12.5794,3,13.4159,12.1313
E00018692,11.5002,3,13.893,9.37131
E00018693,11.1085,3,11.6381,10.8203
E00018694,12.5154,3,13.1202,12.0634
E00018695,8.74337,2,8.88962,8.48333
E00018696,10.4999,3,11.3825,9.61723
E00018697,5.13671,2,11.9661,0
E00018698,6.48501,2,11.1481,2.66809
E00018699,4.95288,1b,8.1208,2.2578
E00018700,11.4669,3,15.7042,8.90974
E00018701,6.98158,2,12.7263,3.62552
E00018702,9.41878,2,10.0091,8.91886
E00018703,13.9789,3,13.9789,13.9789
E00018704,15.5887,4,16.5198,14.6576
E00018705,11.2038,3,12.0416,10.1622
E00018706,13.1531,3,18.5535,8.6138
E00018707,14.5942,3,17.3077,13.0177
E00018708,14.418,3,15.7578,13.1693
E00018709,11.7643,3,12.7322,11.0117
E00018710,10.9292,3,11.4983,10.3601
E00018711,5.57103,2,5.63962,5.50245
E00018712,4.63416,1b,5.40823,3.04447
E00018713,4.7603,1b,5.54249,2.86444
E00018714,4.40208,1b,6.39556,2.39202
E00018715,1.19985,1a,5.63786,0
E00018716,3.07211,1b,5.16001,1.61263
E00018717,5.07917,2,6.31718,2.39432
E00018718,4.09361,1b,5.77557,2.85013
E00018719,5.75813,2,6.76745,5.15344
E00018720,2.74991,1b,5.50659,1.59533
E00018721,6.35536,2,7.00228,5.77467
E00018722,3.74062,1b,4.95277,1.48288
E00018723,3.85392,1b,5.0517,3.28621
E00018724,3.79181,1b,5.11891,3.05491
E00018725,5.07396,2,6.92626,3.20512
E00018726,5.27717,2,5.37185,5.17388
E00018727,6.73524,2,7.49918,5.13283
E00018728,3.80074,1b,5.10001,2.64261
E00018729,6.16407,2,7.05984,5.17492
E00018730,3.00735,1b,3.0438,2.9546
E00018731,3.51428,1b,5.73537,2.68923
E00018732,6.07828,2,7.01608,5.55208
E00018733,5.38467,2,6.04603,5.01427
E00018734,5.58163,2,5.75747,5.23258
E00018735,5.66902,2,6.44279,5.12607
E00018736,6.43676,2,7.11306,5.67346
E00018737,6.75334,2,8.21462,5.29206
E00018738,8.48264,2,8.79099,8.04069
E00018739,6.02152,2,9.07153,2.24335
E00018740,10.7801,3,11.8844,9.27347
E00018741,2.76436,1b,7.5364,0
E00018742,7.31821,2,10.1632,2.14389
E00018743,6.64129,2,7.82966,5.3747
E00018744,9.9767,2,10.7021,9.3547
E00018745,7.97345,2,12.0155,4.42945
E00018746,5.34659,2,5.87839,4.81479
E00018747,11.7359,3,12.5287,10.6437
E00018748,3.29085,1b,4.61218,2.8925
E00018749,4.445,1b,5.37689,3.12602
E00018750,4.47686,1b,4.47686,4.47686
E00018751,5.82234,2,6.1667,5.43689
E00018752,4.51426,1b,4.91985,4.3076
E00018753,18.4894,4,25.7945,11.1843
E00018754,6.04331,2,6.28588,5.80074
E00018755,13.5036,3,18.676,8.33111
E00018756,5.65791,2,5.65791,5.65791
E00018757,7.40376,2,7.40376,7.40376
E00018758,5.13963,2,5.34301,4.93624
E00018759,5.38099,2,5.65998,4.87696
E00018760,3.52057,1b,6.05614,0
E00018761,7.42549,2,7.72298,7.12801
E00018762,6.43543,2,7.21739,5.59017
E00018763,8.15352,2,8.79932,7.50772
E00018764,6.77202,2,7.87279,5.54298
E00018765,7.50936,2,8.032,6.83264
E00018766,5.25033,2,5.56198,4.93868
E00018767,7.73256,2,8.27646,7.04462
E00018768,6.63978,2,7.03105,6.35677
E00018769,8.16544,2,9.20016,7.20098
E00018770,0,0,0,0
E00018771,3.32699,1b,5.02856,0
E00018773,6.03702,2,6.33309,5.88529
E00018774,7.49623,2,7.49623,7.49623
E00018775,6.61155,2,6.72199,6.50111
E00018776,6.78852,2,7.37433,6.44754
E00018777,20.3137,5,25.4299,8.00319
E00018778,15.7063,4,23.8175,7.59513
E00018779,23.1979,5,23.9697,22.4261
E00018780,2.47814,1a,4.95627,0
E00018781,10.0131,3,23.6622,0
E00018784,19.6491,4,27.7905,14.272
E00018785,23.7301,5,27.6691,17.2094
E00018786,4.8336,1b,5.19424,4.57854
E00018787,5.98834,2,6.0887,5.88799
E00018788,6.85555,2,7.86766,5.95098
E00018789,4.21998,1b,4.69695,3.83713
E00018790,5.50255,2,6.25586,4.98611
E00018791,6.73942,2,8.30069,5.72689
E00018792,4.6281,1b,5.59178,3.72224
E00018793,3.59134,1b,5.46526,2.88945
E00018795,6.17148,2,7.2373,5.17965
E00018796,3.74051,1b,4.36479,2.65018
E00018797,5.14118,2,5.64464,4.61146
E00018798,6.62599,2,7.39375,5.90198
E00018799,6.0177,2,6.57414,5.33043
E00018800,8.51725,2,9.88535,7.24234
E00018801,6.24636,2,7.10025,5.74562
E00018802,6.8518,2,7.61454,5.98315
E00018803,5.88545,2,7.69201,3.7509
E00018804,8.68892,2,9.39848,7.97935
E00018805,8.00239,2,10.1996,2.95011
E00018806,10.7045,3,11.6678,9.74127
E00018807,10.9341,3,11.7305,10.2416
